Маршрут,Роль,Тема,Ширина,Состояние,Действие,Ожидалось,Факт,Метод,Свидетельство,Дефект,Повтор
/v2,verified member,light,320,Загруженная страница,Открыть/снять полную страницу,scrollWidth <= viewport+1,scrollWidth=320,Живой локальный браузер + измерение,matrix/results.json; соответствующий PNG,Нет в окончательном проходе,Проверено
/v2/dpo,verified member,light,320,Загруженная страница,Открыть/снять полную страницу,scrollWidth <= viewport+1,scrollWidth=320,Живой локальный браузер + измерение,matrix/results.json; соответствующий PNG,Нет в окончательном проходе,Проверено
/v2/dpo/copyright-info-society,verified member,light,320,Загруженная страница,Открыть/снять полную страницу,scrollWidth <= viewport+1,scrollWidth=320,Живой локальный браузер + измерение,matrix/results.json; соответствующий PNG,Нет в окончательном проходе,Проверено
/v2/merch,verified member,light,320,Загруженная страница,Открыть/снять полную страницу,scrollWidth <= viewport+1,scrollWidth=320,Живой локальный браузер + измерение,matrix/results.json; соответствующий PNG,Нет в окончательном проходе,Проверено
/v2/merch/graduate-robe,verified member,light,320,Загруженная страница,Открыть/снять полную страницу,scrollWidth <= viewport+1,scrollWidth=320,Живой локальный браузер + измерение,matrix/results.json; соответствующий PNG,Нет в окончательном проходе,Проверено
/v2/news,verified member,light,320,Загруженная страница,Открыть/снять полную страницу,scrollWidth <= viewport+1,scrollWidth=320,Живой локальный браузер + измерение,matrix/results.json; соответствующий PNG,Нет в окончательном проходе,Проверено
/v2/news/novyy-nabor-dpo-osenyu,verified member,light,320,Загруженная страница,Открыть/снять полную страницу,scrollWidth <= viewport+1,scrollWidth=320,Живой локальный браузер + измерение,matrix/results.json; соответствующий PNG,Нет в окончательном проходе,Проверено
/v2/events,verified member,light,320,Загруженная страница,Открыть/снять полную страницу,scrollWidth <= viewport+1,scrollWidth=320,Живой локальный браузер + измерение,matrix/results.json; соответствующий PNG,Нет в окончательном проходе,Проверено
/v2/events/56e27540-fa59-4b1e-868d-94a178fd0f54,verified member,light,320,Загруженная страница,Открыть/снять полную страницу,scrollWidth <= viewport+1,scrollWidth=320,Живой локальный браузер + измерение,matrix/results.json; соответствующий PNG,Нет в окончательном проходе,Проверено
/v2/podcasts,verified member,light,320,Загруженная страница,Открыть/снять полную страницу,scrollWidth <= viewport+1,scrollWidth=320,Живой локальный браузер + измерение,matrix/results.json; соответствующий PNG,Нет в окончательном проходе,Проверено
/v2/cart,verified member,light,320,Загруженная страница,Открыть/снять полную страницу,scrollWidth <= viewport+1,scrollWidth=320,Живой локальный браузер + измерение,matrix/results.json; соответствующий PNG,Нет в окончательном проходе,Проверено
/v2/join,verified member,light,320,Загруженная страница,Открыть/снять полную страницу,scrollWidth <= viewport+1,scrollWidth=320,Живой локальный браузер + измерение,matrix/results.json; соответствующий PNG,Нет в окончательном проходе,Проверено
/v2/forgot,verified member,light,320,Загруженная страница,Открыть/снять полную страницу,scrollWidth <= viewport+1,scrollWidth=320,Живой локальный браузер + измерение,matrix/results.json; соответствующий PNG,Нет в окончательном проходе,Проверено
/v2/lk,verified member,light,320,Загруженная страница,Открыть/снять полную страницу,scrollWidth <= viewport+1,scrollWidth=320,Живой локальный браузер + измерение,matrix/results.json; соответствующий PNG,Нет в окончательном проходе,Проверено
/v2/lk?section=community,verified member,light,320,Загруженная страница,Открыть/снять полную страницу,scrollWidth <= viewport+1,scrollWidth=320,Живой локальный браузер + измерение,matrix/results.json; соответствующий PNG,Нет в окончательном проходе,Проверено
/v2/lk?section=achievements,verified member,light,320,Загруженная страница,Открыть/снять полную страницу,scrollWidth <= viewport+1,scrollWidth=320,Живой локальный браузер + измерение,matrix/results.json; соответствующий PNG,Нет в окончательном проходе,Проверено
/v2/lk/profile,verified member,light,320,Загруженная страница,Открыть/снять полную страницу,scrollWidth <= viewport+1,scrollWidth=320,Живой локальный браузер + измерение,matrix/results.json; соответствующий PNG,Нет в окончательном проходе,Проверено
/v2/privacy,verified member,light,320,Загруженная страница,Открыть/снять полную страницу,scrollWidth <= viewport+1,scrollWidth=320,Живой локальный браузер + измерение,matrix/results.json; соответствующий PNG,Нет в окончательном проходе,Проверено
/v2/confidential,verified member,light,320,Загруженная страница,Открыть/снять полную страницу,scrollWidth <= viewport+1,scrollWidth=320,Живой локальный браузер + измерение,matrix/results.json; соответствующий PNG,Нет в окончательном проходе,Проверено
/v2/requisites,verified member,light,320,Загруженная страница,Открыть/снять полную страницу,scrollWidth <= viewport+1,scrollWidth=320,Живой локальный браузер + измерение,matrix/results.json; соответствующий PNG,Нет в окончательном проходе,Проверено
/v2,verified member,light,360,Загруженная страница,Открыть/снять полную страницу,scrollWidth <= viewport+1,scrollWidth=360,Живой локальный браузер + измерение,matrix/results.json; соответствующий PNG,Нет в окончательном проходе,Проверено
/v2/dpo,verified member,light,360,Загруженная страница,Открыть/снять полную страницу,scrollWidth <= viewport+1,scrollWidth=360,Живой локальный браузер + измерение,matrix/results.json; соответствующий PNG,Нет в окончательном проходе,Проверено
/v2/dpo/copyright-info-society,verified member,light,360,Загруженная страница,Открыть/снять полную страницу,scrollWidth <= viewport+1,scrollWidth=360,Живой локальный браузер + измерение,matrix/results.json; соответствующий PNG,Нет в окончательном проходе,Проверено
/v2/merch,verified member,light,360,Загруженная страница,Открыть/снять полную страницу,scrollWidth <= viewport+1,scrollWidth=360,Живой локальный браузер + измерение,matrix/results.json; соответствующий PNG,Нет в окончательном проходе,Проверено
/v2/merch/graduate-robe,verified member,light,360,Загруженная страница,Открыть/снять полную страницу,scrollWidth <= viewport+1,scrollWidth=360,Живой локальный браузер + измерение,matrix/results.json; соответствующий PNG,Нет в окончательном проходе,Проверено
/v2/news,verified member,light,360,Загруженная страница,Открыть/снять полную страницу,scrollWidth <= viewport+1,scrollWidth=360,Живой локальный браузер + измерение,matrix/results.json; соответствующий PNG,Нет в окончательном проходе,Проверено
/v2/news/novyy-nabor-dpo-osenyu,verified member,light,360,Загруженная страница,Открыть/снять полную страницу,scrollWidth <= viewport+1,scrollWidth=360,Живой локальный браузер + измерение,matrix/results.json; соответствующий PNG,Нет в окончательном проходе,Проверено
/v2/events,verified member,light,360,Загруженная страница,Открыть/снять полную страницу,scrollWidth <= viewport+1,scrollWidth=360,Живой локальный браузер + измерение,matrix/results.json; соответствующий PNG,Нет в окончательном проходе,Проверено
/v2/events/56e27540-fa59-4b1e-868d-94a178fd0f54,verified member,light,360,Загруженная страница,Открыть/снять полную страницу,scrollWidth <= viewport+1,scrollWidth=360,Живой локальный браузер + измерение,matrix/results.json; соответствующий PNG,Нет в окончательном проходе,Проверено
/v2/podcasts,verified member,light,360,Загруженная страница,Открыть/снять полную страницу,scrollWidth <= viewport+1,scrollWidth=360,Живой локальный браузер + измерение,matrix/results.json; соответствующий PNG,Нет в окончательном проходе,Проверено
/v2/cart,verified member,light,360,Загруженная страница,Открыть/снять полную страницу,scrollWidth <= viewport+1,scrollWidth=360,Живой локальный браузер + измерение,matrix/results.json; соответствующий PNG,Нет в окончательном проходе,Проверено
/v2/join,verified member,light,360,Загруженная страница,Открыть/снять полную страницу,scrollWidth <= viewport+1,scrollWidth=360,Живой локальный браузер + измерение,matrix/results.json; соответствующий PNG,Нет в окончательном проходе,Проверено
/v2/forgot,verified member,light,360,Загруженная страница,Открыть/снять полную страницу,scrollWidth <= viewport+1,scrollWidth=360,Живой локальный браузер + измерение,matrix/results.json; соответствующий PNG,Нет в окончательном проходе,Проверено
/v2/lk,verified member,light,360,Загруженная страница,Открыть/снять полную страницу,scrollWidth <= viewport+1,scrollWidth=360,Живой локальный браузер + измерение,matrix/results.json; соответствующий PNG,Нет в окончательном проходе,Проверено
/v2/lk?section=community,verified member,light,360,Загруженная страница,Открыть/снять полную страницу,scrollWidth <= viewport+1,scrollWidth=360,Живой локальный браузер + измерение,matrix/results.json; соответствующий PNG,Нет в окончательном проходе,Проверено
/v2/lk?section=achievements,verified member,light,360,Загруженная страница,Открыть/снять полную страницу,scrollWidth <= viewport+1,scrollWidth=360,Живой локальный браузер + измерение,matrix/results.json; соответствующий PNG,Нет в окончательном проходе,Проверено
/v2/lk/profile,verified member,light,360,Загруженная страница,Открыть/снять полную страницу,scrollWidth <= viewport+1,scrollWidth=360,Живой локальный браузер + измерение,matrix/results.json; соответствующий PNG,Нет в окончательном проходе,Проверено
/v2/privacy,verified member,light,360,Загруженная страница,Открыть/снять полную страницу,scrollWidth <= viewport+1,scrollWidth=360,Живой локальный браузер + измерение,matrix/results.json; соответствующий PNG,Нет в окончательном проходе,Проверено
/v2/confidential,verified member,light,360,Загруженная страница,Открыть/снять полную страницу,scrollWidth <= viewport+1,scrollWidth=360,Живой локальный браузер + измерение,matrix/results.json; соответствующий PNG,Нет в окончательном проходе,Проверено
/v2/requisites,verified member,light,360,Загруженная страница,Открыть/снять полную страницу,scrollWidth <= viewport+1,scrollWidth=360,Живой локальный браузер + измерение,matrix/results.json; соответствующий PNG,Нет в окончательном проходе,Проверено
/v2,verified member,light,390,Загруженная страница,Открыть/снять полную страницу,scrollWidth <= viewport+1,scrollWidth=390,Живой локальный браузер + измерение,matrix/results.json; соответствующий PNG,Нет в окончательном проходе,Проверено
/v2/dpo,verified member,light,390,Загруженная страница,Открыть/снять полную страницу,scrollWidth <= viewport+1,scrollWidth=390,Живой локальный браузер + измерение,matrix/results.json; соответствующий PNG,Нет в окончательном проходе,Проверено
